CustomerID,Cluster
C0001,1
C0002,3
C0003,1
C0004,1
C0005,3
C0006,1
C0007,3
C0008,2
C0009,0
C0010,0
C0011,1
C0012,1
C0013,1
C0014,0
C0015,2
C0016,2
C0017,0
C0018,2
C0019,0
C0020,2
C0021,3
C0022,3
C0023,0
C0024,2
C0025,1
C0026,2
C0027,3
C0028,3
C0029,2
C0030,2
C0031,1
C0032,1
C0033,2
C0034,2
C0035,2
C0036,2
C0037,0
C0038,2
C0039,1
C0040,3
C0041,0
C0042,2
C0043,3
C0044,0
C0045,3
C0046,2
C0047,2
C0048,1
C0049,2
C0050,2
C0051,0
C0052,1
C0053,0
C0054,3
C0055,2
C0056,3
C0057,0
C0058,2
C0059,2
C0060,0
C0061,0
C0062,0
C0063,0
C0064,0
C0065,2
C0066,0
C0067,2
C0068,2
C0069,0
C0070,0
C0071,1
C0072,2
C0073,0
C0074,0
C0075,0
C0076,1
C0077,1
C0078,3
C0079,2
C0080,3
C0081,0
C0082,1
C0083,1
C0084,3
C0085,1
C0086,0
C0087,1
C0088,3
C0089,0
C0090,3
C0091,1
C0092,3
C0093,3
C0094,2
C0095,1
C0096,1
C0097,3
C0098,2
C0099,1
C0100,0
C0101,3
C0102,1
C0103,0
C0104,1
C0105,0
C0106,3
C0107,1
C0108,1
C0109,2
C0110,3
C0111,0
C0112,1
C0113,1
C0114,0
C0115,3
C0116,2
C0117,2
C0118,1
C0119,0
C0120,1
C0121,0
C0122,2
C0123,3
C0124,0
C0125,2
C0126,1
C0127,0
C0128,3
C0129,1
C0130,1
C0131,2
C0132,0
C0133,1
C0134,3
C0135,0
C0136,3
C0137,1
C0138,3
C0139,2
C0140,3
C0141,0
C0142,3
C0143,3
C0144,2
C0145,3
C0146,3
C0147,1
C0148,1
C0149,0
C0150,1
C0151,1
C0152,1
C0153,1
C0154,2
C0155,1
C0156,2
C0157,2
C0158,1
C0159,3
C0160,2
C0161,3
C0162,3
C0163,1
C0164,0
C0165,1
C0166,0
C0167,0
C0168,1
C0169,1
C0170,0
C0171,1
C0172,0
C0173,3
C0174,1
C0175,3
C0176,2
C0177,3
C0178,3
C0179,0
C0181,1
C0182,0
C0183,2
C0184,1
C0185,2
C0186,3
C0187,1
C0188,1
C0189,2
C0190,1
C0191,1
C0192,1
C0193,3
C0194,2
C0195,1
C0196,0
C0197,0
C0198,0
C0199,0
C0200,3
